cohort_month,activity_month,month_number,active_customers
2009-12-01,2009-12-01,0,955
2009-12-01,2010-01-01,1,337
2009-12-01,2010-02-01,2,319
2009-12-01,2010-03-01,3,406
2009-12-01,2010-04-01,4,363
2009-12-01,2010-05-01,5,343
2009-12-01,2010-06-01,6,360
2009-12-01,2010-07-01,7,327
2009-12-01,2010-08-01,8,321
2009-12-01,2010-09-01,9,346
2009-12-01,2010-10-01,10,403
2009-12-01,2010-11-01,11,473
2009-12-01,2010-12-01,12,359
2009-12-01,2011-01-01,13,270
2009-12-01,2011-02-01,14,233
2009-12-01,2011-03-01,15,289
2009-12-01,2011-04-01,16,251
2009-12-01,2011-05-01,17,289
2009-12-01,2011-06-01,18,270
2009-12-01,2011-07-01,19,248
2009-12-01,2011-08-01,20,244
2009-12-01,2011-09-01,21,301
2009-12-01,2011-10-01,22,291
2009-12-01,2011-11-01,23,389
2009-12-01,2011-12-01,24,188
2010-01-01,2010-01-01,0,383
2010-01-01,2010-02-01,1,79
2010-01-01,2010-03-01,2,119
2010-01-01,2010-04-01,3,117
2010-01-01,2010-05-01,4,101
2010-01-01,2010-06-01,5,115
2010-01-01,2010-07-01,6,99
2010-01-01,2010-08-01,7,88
2010-01-01,2010-09-01,8,107
2010-01-01,2010-10-01,9,122
2010-01-01,2010-11-01,10,116
2010-01-01,2010-12-01,11,66
2010-01-01,2011-01-01,12,85
2010-01-01,2011-02-01,13,68
2010-01-01,2011-03-01,14,72
2010-01-01,2011-04-01,15,58
2010-01-01,2011-05-01,16,90
2010-01-01,2011-06-01,17,76
2010-01-01,2011-07-01,18,71
2010-01-01,2011-08-01,19,75
2010-01-01,2011-09-01,20,93
2010-01-01,2011-10-01,21,74
2010-01-01,2011-11-01,22,94
2010-01-01,2011-12-01,23,22
2010-02-01,2010-02-01,0,374
2010-02-01,2010-03-01,1,89
2010-02-01,2010-04-01,2,84
2010-02-01,2010-05-01,3,109
2010-02-01,2010-06-01,4,92
2010-02-01,2010-07-01,5,75
2010-02-01,2010-08-01,6,72
2010-02-01,2010-09-01,7,107
2010-02-01,2010-10-01,8,95
2010-02-01,2010-11-01,9,103
2010-02-01,2010-12-01,10,43
2010-02-01,2011-01-01,11,47
2010-02-01,2011-02-01,12,57
2010-02-01,2011-03-01,13,65
2010-02-01,2011-04-01,14,46
2010-02-01,2011-05-01,15,75
2010-02-01,2011-06-01,16,60
2010-02-01,2011-07-01,17,61
2010-02-01,2011-08-01,18,54
2010-02-01,2011-09-01,19,86
2010-02-01,2011-10-01,20,86
2010-02-01,2011-11-01,21,61
2010-02-01,2011-12-01,22,22
2010-03-01,2010-03-01,0,443
2010-03-01,2010-04-01,1,84
2010-03-01,2010-05-01,2,102
2010-03-01,2010-06-01,3,107
2010-03-01,2010-07-01,4,103
2010-03-01,2010-08-01,5,90
2010-03-01,2010-09-01,6,109
2010-03-01,2010-10-01,7,134
2010-03-01,2010-11-01,8,122
2010-03-01,2010-12-01,9,48
2010-03-01,2011-01-01,10,51
2010-03-01,2011-02-01,11,63
2010-03-01,2011-03-01,12,89
