country,gross_sales,returns_value,net_revenue,sales_orders,return_orders,known_customers,net_revenue_share,commercial_invoices,return_invoice_share,return_share_low,return_share_high,return_value_rate
United Kingdom,17410196.117,1265459.64,16144736.477,36535,7315,5407,0.84908795,43850,0.16681870011402508,0.16335847909551932,0.17033729240404366,0.07268497330505976
EIRE,658767.31,48813.53,609953.78,626,180,5,0.03207884,806,0.22332506203473945,0.19592366781811232,0.25335125489395366,0.07409828821044565
Netherlands,554038.09,5707.39,548330.7,228,21,23,0.02883794,249,0.08433734939759036,0.05582203415775734,0.12548311664507517,0.010301439743971396
Germany,425019.711,13060.55,411959.161,789,306,107,0.02166586,1095,0.27945205479452057,0.2536801355076963,0.30676600881746563,0.030729280694466423
France,350456.09,28722.7,321733.39,622,124,95,0.01692068,746,0.16621983914209115,0.14122908223249567,0.1946305262996537,0.08195805642869552
Australia,169283.46,2839.04,166444.42,95,22,15,0.00875369,117,0.18803418803418803,0.12758198294157508,0.2683207087967116,0.016770923751204047
Switzerland,100685.59,1282.53,99403.06,93,30,22,0.00522783,123,0.24390243902439024,0.17652373784947192,0.32679323291275975,0.012737969753169247
Spain,108332.49,17319.05,91013.44,154,34,41,0.0047866,188,0.18085106382978725,0.13240293487548616,0.24208055405503343,0.1598693983679319
Sweden,91869.82,4094.3,87775.52,105,24,19,0.00461631,129,0.18604651162790697,0.12833074623026314,0.2619198523473116,0.04456632221550015
Denmark,68580.69,4121.1,64459.59,43,10,12,0.00339007,53,0.18867924528301888,0.10585325107685911,0.31358459086702545,0.060091258924341535
Belgium,65387.82,2178.93,63208.89,149,34,29,0.0033243,183,0.18579234972677597,0.13611052957732375,0.24839438316604182,0.03332317853692018
Portugal,56283.53,4879.85,51403.68,95,29,24,0.00270343,124,0.23387096774193547,0.16805775181083993,0.3156778015156498,0.08670120726258641
Channel Islands,44623.33,3543.15,41080.18,55,24,14,0.0021605,79,0.3037974683544304,0.21344462783876017,0.4123466071140449,0.07940129075978866
Japan,43023.91,3361.81,39662.1,33,23,10,0.00208592,56,0.4107142857142857,0.29166774287846203,0.541224031535603,0.07813817944487146
Norway,56322.5,20866.59,35455.91,45,8,13,0.00186471,53,0.1509433962264151,0.07852417850846262,0.27054249276195336,0.37048408717652803
Italy,32108.17,1854.07,30254.1,65,27,17,0.00159113,92,0.29347826086956524,0.21021716711066393,0.39329471107252756,0.05774449306827515
Finland,29925.54,411.09,29514.45,57,11,15,0.00155223,68,0.16176470588235295,0.09280092222804136,0.26690027600612404,0.013737095470958919
Cyprus,24849.95,817.39,24032.56,37,8,11,0.00126393,45,0.17777777777777778,0.09294389514104148,0.3132982462645977,0.03289302392962561
