customer_id,first_purchase_at,last_purchase_at,sales_orders,return_orders,gross_sales,returns_value,net_revenue,recency_days,frequency,monetary,r_score,f_score,m_score,segment
18102,2009-12-01 09:24:00,2011-12-09 11:50:00,145,8,580987.04,10606.43,570380.61,0,145,570380.61,5,5,5,高价值活跃
14646,2009-12-02 16:52:00,2011-12-08 12:12:00,151,12,528602.52,5260.45,523342.07,1,151,523342.07,5,5,5,高价值活跃
14156,2009-12-01 12:30:00,2011-11-30 10:54:00,156,46,313437.62,17374.18,296063.44,9,156,296063.44,5,5,5,高价值活跃
14911,2009-12-01 11:41:00,2011-12-08 15:54:00,398,112,291420.81,25662.9,265757.91,1,398,265757.91,5,5,5,高价值活跃
17450,2010-09-27 16:59:00,2011-12-01 13:29:00,51,10,244784.25,13393.7,231390.55,8,51,231390.55,5,5,5,高价值活跃
13694,2009-12-04 15:26:00,2011-12-06 09:32:00,143,21,195640.69,5619.85,190020.84,3,143,190020.84,5,5,5,高价值活跃
17511,2009-12-02 10:52:00,2011-12-07 10:12:00,60,25,172132.87,3641.25,168491.62,2,60,168491.62,5,5,5,高价值活跃
12415,2010-06-30 08:30:00,2011-11-15 14:22:00,28,5,144458.37,1189.08,143269.29,24,28,143269.29,4,5,5,高价值活跃
16684,2009-12-07 12:56:00,2011-12-05 14:06:00,55,10,147142.77,5640.52,141502.25,4,55,141502.25,5,5,5,高价值活跃
15061,2009-12-01 12:18:00,2011-12-06 12:06:00,127,11,126389.02,1427.04,124961.98,3,127,124961.98,5,5,5,高价值活跃
15311,2009-12-01 11:21:00,2011-12-09 12:00:00,208,62,114966.42,3227.06,111739.36,0,208,111739.36,5,5,5,高价值活跃
13089,2009-12-02 15:44:00,2011-12-07 09:02:00,203,44,113416.91,3523.67,109893.24,2,203,109893.24,5,5,5,高价值活跃
17949,2009-12-02 11:07:00,2011-12-08 18:46:00,118,20,117314.08,19732.49,97581.59,1,118,97581.59,5,5,5,高价值活跃
14298,2009-12-11 13:49:00,2011-12-01 13:12:00,82,2,91194.49,705.18,90489.31,8,82,90489.31,5,5,5,高价值活跃
16029,2009-12-08 11:23:00,2011-11-01 10:27:00,107,18,117763.62,28058.15,89705.47,38,107,89705.47,4,5,5,高价值活跃
15769,2009-12-11 09:58:00,2011-12-02 13:52:00,46,5,88612.52,4434.94,84177.58,7,46,84177.58,5,5,5,高价值活跃
13798,2009-12-08 16:21:00,2011-12-08 15:51:00,110,15,75428.87,2261.95,73166.92,1,110,73166.92,5,5,5,高价值活跃
15838,2009-12-15 09:51:00,2011-11-28 14:00:00,34,4,73205.5,478.09,72727.41,11,34,72727.41,5,5,5,高价值活跃
12931,2009-12-01 11:46:00,2011-11-18 12:39:00,57,14,92347.34,21047.67,71299.67,21,57,71299.67,4,5,5,高价值活跃
17841,2009-12-02 15:41:00,2011-12-08 12:07:00,211,78,68545.25,1358.38,67186.87,1,211,67186.87,5,5,5,高价值活跃
14088,2010-10-14 19:46:00,2011-11-29 16:16:00,16,4,64036.8,1636.78,62400.02,10,16,62400.02,5,5,5,高价值活跃
16422,2010-01-12 11:57:00,2011-11-22 14:00:00,109,37,61920.87,2540.93,59379.94,17,109,59379.94,5,5,5,高价值活跃
14096,2011-08-30 10:49:00,2011-12-05 17:17:00,17,17,65164.79,8043.88,57120.91,4,17,57120.91,5,5,5,高价值活跃
13081,2009-12-08 13:58:00,2011-11-28 10:54:00,28,16,56838.37,877.0,55961.37,11,28,55961.37,5,5,5,高价值活跃
17389,2009-12-04 12:06:00,2011-12-09 09:38:00,61,16,57215.33,2637.65,54577.68,0,61,54577.68,5,5,5,高价值活跃
16754,2010-03-08 11:32:00,2010-12-02 17:38:00,29,6,65500.07,10941.89,54558.18,372,29,54558.18,2,5,5,高价值流失风险
13093,2009-12-04 10:32:00,2011-03-09 12:14:00,55,33,54144.25,869.92,53274.33,275,55,53274.33,2,5,5,高价值流失风险
14680,2009-12-04 12:36:00,2011-11-14 16:59:00,58,29,55688.5,2608.48,53080.02,25,58,53080.02,4,5,5,高价值活跃
16013,2009-12-08 10:24:00,2011-12-06 10:36:00,84,10,56078.44,4657.52,51420.92,3,84,51420.92,5,5,5,高价值活跃
17850,2009-12-05 12:28:00,2010-12-02 15:27:00,155,4,51208.87,801.1,50407.77,372,155,50407.77,2,5,5,高价值流失风险
13408,2009-12-04 09:31:00,2011-12-08 09:05:00,106,29,50174.782,859.76,49315.022,1,106,49315.022,5,5,5,高价值活跃
13777,2009-12-02 09:47:00,2011-12-09 12:25:00,61,12,49638.26,419.85,49218.41,0,61,49218.41,5,5,5,高价值活跃
12748,2009-12-04 17:31:00,2011-12-09 12:20:00,336,28,53539.64,6606.31,46933.33,0,336,46933.33,5,5,5,高价值活跃
17404,2010-01-07 11:31:00,2011-12-05 16:26:00,23,5,47781.12,1774.3,46006.82,4,23,46006.82,5,5,5,高价值活跃
13881,2010-03-04 14:41:00,2011-12-06 12:50:00,43,8,45179.1,786.6,44392.5,3,43,44392.5,5,5,5,高价值活跃
16705,2009-12-09 13:34:00,2011-12-09 12:08:00,42,19,43515.051,861.91,42653.141,0,42,42653.141,5,5,5,高价值活跃
15039,2009-12-10 11:39:00,2011-11-30 11:31:00,93,14,39141.48,288.44,38853.04,9,93,38853.04,5,5,5,高价值活跃
12471,2009-12-07 10:41:00,2011-12-07 15:43:00,79,50,39918.19,1998.18,37920.01,2,79,37920.01,5,5,5,高价值活跃
17675,2009-12-10 16:10:00,2011-12-08 18:03:00,70,20,37642.48,578.16,37064.32,1,70,37064.32,5,5,5,高价值活跃
17381,2010-06-09 12:55:00,2011-12-01 11:59:00,38,1,36398.65,3.18,36395.47,8,38,36395.47,5,5,5,高价值活跃
14031,2009-12-03 15:35:00,2011-12-02 17:13:00,44,11,39019.51,2971.25,36048.26,7,44,36048.26,5,5,5,高价值活跃
17677,2009-12-16 11:23:00,2011-12-08 09:56:00,54,37,35058.46,826.28,34232.18,1,54,34232.18,5,5,5,高价值活跃
12921,2009-12-01 13:43:00,2011-11-30 16:22:00,74,29,35233.24,1281.59,33951.65,9,74,33951.65,5,5,5,高价值活跃
12678,2010-01-07 16:46:00,2011-10-28 13:04:00,21,2,34281.18,430.05,33851.13,42,21,33851.13,4,5,5,高价值活跃
16210,2009-12-02 12:54:00,2011-12-08 12:36:00,35,2,33750.97,185.45,33565.52,1,35,33565.52,5,5,5,高价值活跃
13767,2009-12-01 10:52:00,2011-12-07 15:00:00,73,23,33903.57,422.75,33480.82,2,73,33480.82,5,5,5,高价值活跃
16779,2009-12-03 13:03:00,2011-12-07 14:54:00,53,9,32809.03,286.63,32522.4,2,53,32522.4,5,5,5,高价值活跃
15856,2009-12-03 14:02:00,2011-12-05 17:09:00,52,6,32275.95,402.9,31873.05,4,52,31873.05,5,5,5,高价值活跃
14258,2009-12-04 08:36:00,2011-11-30 15:27:00,25,7,32051.34,1023.99,31027.35,9,25,31027.35,5,5,5,高价值活跃
17428,2009-12-01 17:28:00,2011-12-09 09:45:00,45,6,31466.76,581.7,30885.06,0,45,30885.06,5,5,5,高价值活跃
