sale_date,city,transactions,revenue,units
2021-01-01,Mandalay,3,1536.696,24.0
2021-01-01,Naypyitaw,4,837.165,20.0
2021-01-01,Yangon,5,2371.32,37.0
2021-01-02,Mandalay,4,1162.8015,31.0
2021-01-02,Naypyitaw,2,475.65,10.0
2021-01-02,Yangon,2,307.0515,7.0
2021-01-03,Mandalay,3,1016.694,15.0
2021-01-03,Naypyitaw,2,124.026,3.0
2021-01-03,Yangon,3,937.4085,19.0
2021-01-04,Mandalay,3,510.5835,8.0
2021-01-04,Naypyitaw,1,629.8425,9.0
2021-01-04,Yangon,2,483.2625,15.0
2021-01-05,Mandalay,3,486.759,11.0
2021-01-05,Naypyitaw,4,1025.4195,17.0
2021-01-05,Yangon,5,2024.505,27.0
2021-01-06,Mandalay,2,1021.6395,13.0
2021-01-06,Naypyitaw,2,1282.596,14.0
2021-01-06,Yangon,5,1309.9695,25.0
2021-01-07,Mandalay,3,1341.9105,17.0
2021-01-07,Naypyitaw,3,386.379,14.0
2021-01-07,Yangon,3,1105.9545,22.0
2021-01-08,Mandalay,6,2208.948,37.0
2021-01-08,Naypyitaw,8,2401.329,44.0
2021-01-08,Yangon,4,683.4555,14.0
2021-01-09,Mandalay,2,168.525,11.0
2021-01-09,Naypyitaw,5,2650.4835,42.0
2021-01-09,Yangon,1,202.335,5.0
2021-01-10,Mandalay,3,1348.599,19.0
2021-01-10,Naypyitaw,3,1480.857,21.0
2021-01-10,Yangon,3,731.493,15.0
2021-01-11,Naypyitaw,2,453.2955,9.0
2021-01-11,Yangon,6,1661.667,31.0
2021-01-12,Mandalay,6,2312.142,34.0
2021-01-12,Naypyitaw,2,1443.582,17.0
2021-01-12,Yangon,3,1429.0395,29.0
2021-01-13,Mandalay,3,735.105,10.0
2021-01-13,Naypyitaw,3,603.6975,15.0
2021-01-13,Yangon,4,1112.4015,25.0
2021-01-14,Mandalay,5,1191.4875,18.0
2021-01-14,Naypyitaw,6,1679.034,31.0
2021-01-14,Yangon,2,1096.095,15.0
2021-01-15,Mandalay,5,2862.363,33.0
2021-01-15,Naypyitaw,3,1275.2355,22.0
2021-01-15,Yangon,5,1806.6615,33.0
2021-01-16,Mandalay,3,885.549,12.0
2021-01-16,Naypyitaw,5,2540.475,37.0
