invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_amount,total,sale_date,sale_time,payment,rating
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,2021-01-01,0 days 11:43:00,Cash,5.0
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.568,2021-01-01,0 days 20:26:00,Ewallet,6.9
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.086,2021-01-01,0 days 11:40:00,Ewallet,5.0
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,2021-01-01,0 days 14:42:00,Credit card,4.3
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,2021-01-01,0 days 19:48:00,Credit card,7.0
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2021-01-01,0 days 14:47:00,Cash,5.7
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,2021-01-01,0 days 15:51:00,Cash,8.5
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,2021-01-01,0 days 13:55:00,Cash,7.7
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,2021-01-01,0 days 11:36:00,Credit card,9.0
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2021-01-01,0 days 10:39:00,Credit card,6.9
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,177.408,2021-01-01,0 days 19:31:00,Cash,6.3
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,2021-01-01,0 days 19:07:00,Cash,6.7
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,2021-01-02,0 days 13:40:00,Cash,7.0
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,2021-01-02,0 days 13:00:00,Cash,5.1
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,266.028,2021-01-02,0 days 16:19:00,Credit card,5.6
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,2021-01-02,0 days 18:09:00,Credit card,6.7
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2021-01-02,0 days 16:57:00,Cash,5.7
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389,281.169,2021-01-02,0 days 20:08:00,Credit card,5.1
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.458,2021-01-02,0 days 15:24:00,Ewallet,5.6
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,2021-01-02,0 days 18:50:00,Cash,7.6
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2021-01-03,0 days 11:36:00,Ewallet,5.5
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,2021-01-03,0 days 10:30:00,Credit card,7.1
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,2021-01-03,0 days 16:47:00,Credit card,9.1
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,2021-01-03,0 days 20:24:00,Ewallet,9.8
552-44-5977,B,Mandalay,Member,Male,Health and beauty,62.0,8,24.8,520.8,2021-01-03,0 days 19:08:00,Credit card,6.2
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,2021-01-03,0 days 19:17:00,Cash,9.7
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2021-01-03,0 days 12:02:00,Ewallet,7.9
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.669,98.049,2021-01-03,0 days 13:07:00,Cash,9.6
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,2021-01-04,0 days 13:21:00,Cash,7.8
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2021-01-04,0 days 19:40:00,Cash,6.1
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,2021-01-04,0 days 13:24:00,Credit card,4.4
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2021-01-04,0 days 18:19:00,Credit card,9.7
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,2021-01-04,0 days 19:01:00,Cash,4.1
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2021-01-04,0 days 13:34:00,Ewallet,7.0
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,2021-01-05,0 days 16:05:00,Credit card,4.4
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,2021-01-05,0 days 17:29:00,Ewallet,6.1
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2021-01-05,0 days 11:25:00,Cash,4.2
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,2021-01-05,0 days 11:32:00,Credit card,5.0
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,2021-01-05,0 days 19:48:00,Ewallet,7.5
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,2021-01-05,0 days 11:51:00,Credit card,7.3
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.595,33.495,2021-01-05,0 days 12:40:00,Ewallet,9.1
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2021-01-05,0 days 20:54:00,Credit card,7.9
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2021-01-05,0 days 13:08:00,Ewallet,9.1
801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06,3,11.409,239.589,2021-01-05,0 days 20:30:00,Credit card,9.8
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,2021-01-05,0 days 20:40:00,Credit card,9.2
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,2021-01-05,0 days 19:50:00,Credit card,9.6
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2021-01-06,0 days 12:46:00,Credit card,9.6
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,2021-01-06,0 days 11:09:00,Cash,6.5
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,2021-01-06,0 days 13:58:00,Ewallet,9.9
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,2021-01-06,0 days 11:23:00,Cash,8.9
729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,2021-01-06,0 days 11:18:00,Cash,9.2
826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19,4,12.438,261.198,2021-01-06,0 days 19:46:00,Ewallet,4.3
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,2021-01-06,0 days 12:12:00,Cash,9.1
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,2021-01-06,0 days 11:51:00,Cash,6.8
852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,271.278,2021-01-06,0 days 13:35:00,Ewallet,9.3
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2021-01-07,0 days 15:01:00,Ewallet,9.9
