month,gross_sales,returns_value,net_revenue,sales_orders,return_orders
2009-12-01,822483.95,25835.45,796648.5,1682,401
2010-01-01,651155.112,28675.61,622479.502,1105,300
2010-02-01,551504.726,20239.36,531265.366,1201,240
2010-03-01,830915.261,67668.02,763247.241,1681,407
2010-04-01,678875.252,37354.2,641521.052,1462,304
2010-05-01,657705.5,44434.78,613270.72,1500,407
2010-06-01,749537.31,72463.44,677073.87,1645,357
2010-07-01,648810.27,31444.79,617365.48,1529,344
2010-08-01,695251.91,40477.52,654774.39,1425,273
2010-09-01,921696.991,70591.03,851105.961,1839,371
2010-10-01,1161902.22,81290.74,1080611.48,2301,476
2010-11-01,1464293.142,47595.94,1416697.202,2747,576
2010-12-01,821452.73,74729.12,746723.61,1559,326
2011-01-01,689811.61,131363.05,558448.56,1086,260
2011-02-01,522545.56,25519.15,497026.41,1100,219
2011-03-01,716215.26,34201.28,682013.98,1454,318
2011-04-01,536968.491,44600.65,492367.841,1246,240
2011-05-01,769296.61,47202.51,722094.1,1681,314
2011-06-01,760547.01,70569.78,689977.23,1533,329
2011-07-01,718076.121,37919.13,680156.991,1475,270
2011-08-01,757841.38,54330.8,703510.58,1361,278
2011-09-01,1056435.192,38838.51,1017596.682,1837,333
2011-10-01,1151263.73,81895.5,1069368.23,2040,362
2011-11-01,1503866.78,47720.98,1456145.8,2769,441
2011-12-01,637808.33,205089.27,432719.06,819,146
