stock_code,description,units_sold,units_returned,gross_sales,returns_value,net_revenue
22423,REGENCY CAKESTAND 3 TIER,26478.0,1450.0,330590.32,16545.3,314045.02
85123A,WHITE HANGING HEART T-LIGHT HOLDER,94719.0,3637.0,261168.73,9387.1,251781.63
85099B,RED RETROSPOT JUMBO BAG,97176.0,1213.0,182680.98,2168.82,180512.16
47566,PARTY BUNTING,28200.0,285.0,148318.28,1238.55,147079.73
84879,ASSORTED COLOUR BIRD ORNAMENT,80082.0,511.0,129324.49,774.07,128550.42
22086,PAPER CHAIN KIT 50'S CHRISTMAS,35084.0,590.0,117760.29,1461.7,116298.59
79321,CHILLI LIGHTS,15841.0,145.0,80540.88,635.75,79905.13
22197,SMALL POPCORN HOLDER,88499.0,804.0,79520.2,616.58,78903.62
22386,JUMBO BAG PINK WITH WHITE SPOTS,39437.0,482.0,76324.62,866.98,75457.64
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,31409.0,9381.0,71300.4,330.45,70969.95
20725,LUNCH BAG RED SPOTTY,40317.0,931.0,71106.29,1383.75,69722.54
85099F,JUMBO BAG STRAWBERRY,37061.0,283.0,69002.13,512.24,68489.89
23084,RABBIT NIGHT LIGHT,30739.0,108.0,66870.03,208.4,66661.63
48138,DOORMAT UNION FLAG,10077.0,51.0,67010.31,359.41,66650.9
20685,RED SPOTTY COIR DOORMAT,9783.0,91.0,66417.47,632.53,65784.94
21137,BLACK RECORD COVER FRAME,18739.0,23.0,65189.29,82.29,65107.0
21931,JUMBO STORAGE BAG SUKI,29182.0,390.0,61537.55,710.63,60826.92
22502,PICNIC BASKET WICKER SMALL,3766.0,86.0,60880.3,436.42,60443.88
21621,VINTAGE UNION JACK BUNTING,6900.0,64.0,60286.04,544.0,59742.04
21843,RETRO SPOT CAKE STAND,6128.0,587.0,64918.3,5270.25,59648.05
15056N,EDWARDIAN PARASOL NATURAL,11459.0,155.0,60145.85,840.55,59305.3
85099C,JUMBO  BAG BAROQUE BLACK WHITE,30657.0,313.0,59142.78,570.88,58571.9
22114,HOT WATER BOTTLE TEA AND SYMPATHY,11677.0,220.0,59189.14,795.2,58393.94
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,18634.0,448.0,58652.7,1185.6,57467.1
22112,CHOCOLATE HOT WATER BOTTLE,11065.0,156.0,57981.94,687.48,57294.46
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27281.0,441.0,57318.71,791.52,56527.19
82484,WOOD BLACK BOARD ANT WHITE FINISH,9831.0,49.0,56745.73,325.0,56420.73
22470,HEART OF WICKER LARGE,17773.0,396.0,53506.13,1028.7,52477.43
20914,SET/5 RED SPOTTY LID GLASS BOWLS,18670.0,400.0,52508.56,1068.8,51439.76
21212,PACK OF 72 RETROSPOT CAKE CASES,94884.0,1110.0,51825.15,549.66,51275.49
22178,VICTORIAN GLASS HANGING T-LIGHT,40081.0,1008.0,52382.82,1262.94,51119.88
22139,RETROSPOT TEA SET CERAMIC 11 PC,10609.0,460.0,52843.01,2014.5,50828.51
21181,PLEASE ONE PERSON METAL SIGN,24732.0,114.0,50117.14,225.9,49891.24
21733,RED HANGING HEART T-LIGHT HOLDER,17575.0,423.0,50346.49,1102.25,49244.24
21929,JUMBO BAG PINK VINTAGE PAISLEY,25608.0,272.0,49651.99,483.97,49168.02
22090,PAPER BUNTING RETROSPOT,16698.0,497.0,50431.9,1290.15,49141.75
22189,CREAM HEART CARD HOLDER,16186.0,43.0,49300.94,168.73,49132.21
22111,SCOTTIE DOG HOT WATER BOTTLE,9776.0,217.0,49771.94,936.65,48835.29
84946,ANTIQUE SILVER TEA GLASS ETCHED,36696.0,450.0,49210.4,503.03,48707.37
48194,DOORMAT HEARTS,7726.0,25.0,48726.56,172.17,48554.39
22469,HEART OF WICKER SMALL,27908.0,281.0,48935.11,424.65,48510.46
21232,STRAWBERRY CERAMIC TRINKET POT,37997.0,804.0,49300.57,950.09,48350.48
15056BL,EDWARDIAN PARASOL BLACK,9620.0,213.0,48723.77,1071.35,47652.42
22457,NATURAL SLATE HEART CHALKBOARD,15373.0,109.0,47288.23,315.95,46972.28
21731,RED TOADSTOOL LED NIGHT LIGHT,28910.0,990.0,48315.84,1457.9,46857.94
48187,DOORMAT NEW ENGLAND,7314.0,10.0,46405.4,76.46,46328.94
21754,HOME BUILDING BLOCK WORD,7595.0,39.0,46516.99,231.65,46285.34
21523,FANCY FONT HOME SWEET HOME DOORMAT,6916.0,6.0,46083.71,47.54,46036.17
21928,JUMBO BAG SCANDINAVIAN PAISLEY,24268.0,295.0,46202.52,536.58,45665.94
82494L,WOODEN FRAME ANTIQUE WHITE,15679.0,511.0,46967.09,1325.85,45641.24
22355,CHARLOTTE BAG SUKI DESIGN,31956.0,185.0,45377.56,142.69,45234.87
21623,VINTAGE UNION JACK MEMOBOARD,6165.0,56.0,45402.18,499.2,44902.98
22326,ROUND SNACK BOXES SET OF4 WOODLAND,15446.0,57.0,44257.74,168.15,44089.59
20727,LUNCH BAG  BLACK SKULL.,26678.0,1211.0,45655.27,1778.95,43876.32
22383,LUNCHBAG SUKI  DESIGN,25058.0,188.0,43254.35,285.8,42968.55
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,11024.0,55.0,42972.52,206.25,42766.27
84029E,RED WOOLLY HOTTIE WHITE HEART.,10628.0,86.0,42994.24,327.7,42666.54
23298,SPOTTY BUNTING,8466.0,110.0,43148.18,482.81,42665.37
22138,BAKING SET 9 PIECE RETROSPOT,9366.0,859.0,45882.01,4052.95,41829.06
21915,RED  HARMONICA IN BOX,36289.0,884.0,42664.54,991.0,41673.54
48185,DOORMAT FAIRY CAKE,6822.0,692.0,45723.84,4678.68,41045.16
23203,JUMBO BAG VINTAGE DOILY,20485.0,590.0,42030.34,1076.4,40953.94
82482,WOODEN PICTURE FRAME WHITE FINISH,16914.0,460.0,41837.6,1068.15,40769.45
20728,LUNCH BAG CARS BLUE,24596.0,1140.0,42270.3,1678.0,40592.3
20713,JUMBO BAG OWLS,20814.0,252.0,40667.05,448.98,40218.07
21175,GIN AND TONIC DIET METAL SIGN,20676.0,2035.0,43851.48,3785.58,40065.9
22083,PAPER CHAIN KIT RETROSPOT,13716.0,528.0,40412.82,1397.6,39015.22
84078A,SET/4 WHITE RETRO STORAGE CUBES,1128.0,147.0,43844.96,5187.65,38657.31
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,9771.0,109.0,38810.64,382.83,38427.81
22629,SPACEBOY LUNCH BOX,20807.0,71.0,37955.5,125.85,37829.65
71477,COLOURED GLASS STAR T-LIGHT HOLDER,15089.0,2574.0,44680.75,7164.12,37516.63
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7483.0,154.0,38108.89,730.1,37378.79
22960,JAM MAKING SET WITH JARS,9019.0,247.0,38380.11,1012.79,37367.32
85066,CREAM SWEETHEART MINI CHEST,3091.0,106.0,38599.98,1235.4,37364.58
82486,WOOD S/3 CABINET ANT WHITE FINISH,4728.0,105.0,38052.33,855.15,37197.18
21166,COOK WITH WINE METAL SIGN,19932.0,558.0,38138.86,967.23,37171.63
20712,JUMBO BAG WOODLAND ANIMALS,17710.0,251.0,37499.37,447.61,37051.76
20726,LUNCH BAG WOODLAND,22118.0,1015.0,38506.74,1497.95,37008.79
