line_id,invoice_id,stock_code,description,quantity,invoice_at,unit_price,customer_id,country,line_amount,transaction_type,is_service_line
1067371,581587,POST,POSTAGE,1,2011-12-09 12:50:00,18.0,12680.0,France,18.0,sale,1
1067370,581587,22138,BAKING SET 9 PIECE RETROSPOT,3,2011-12-09 12:50:00,4.95,12680.0,France,14.85,sale,0
1067369,581587,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-12-09 12:50:00,4.15,12680.0,France,16.6,sale,0
1067368,581587,23254,CHILDRENS CUTLERY DOLLY GIRL,4,2011-12-09 12:50:00,4.15,12680.0,France,16.6,sale,0
1067367,581587,22899,CHILDREN'S APRON DOLLY GIRL,6,2011-12-09 12:50:00,2.1,12680.0,France,12.6,sale,0
1067366,581587,22613,PACK OF 20 SPACEBOY NAPKINS,12,2011-12-09 12:50:00,0.85,12680.0,France,10.2,sale,0
1067365,581587,23256,CHILDRENS CUTLERY SPACEBOY,4,2011-12-09 12:50:00,4.15,12680.0,France,16.6,sale,0
1067364,581587,22629,SPACEBOY LUNCH BOX,12,2011-12-09 12:50:00,1.95,12680.0,France,23.4,sale,0
1067363,581587,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-12-09 12:50:00,1.95,12680.0,France,15.6,sale,0
1067362,581587,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-12-09 12:50:00,3.75,12680.0,France,15.0,sale,0
1067361,581587,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-12-09 12:50:00,3.75,12680.0,France,15.0,sale,0
1067360,581587,22727,ALARM CLOCK BAKELIKE RED,4,2011-12-09 12:50:00,3.75,12680.0,France,15.0,sale,0
1067359,581587,22728,ALARM CLOCK BAKELIKE PINK,4,2011-12-09 12:50:00,3.75,12680.0,France,15.0,sale,0
1067358,581587,22555,PLASTERS IN TIN STRONGMAN,12,2011-12-09 12:50:00,1.65,12680.0,France,19.8,sale,0
1067357,581587,22556,PLASTERS IN TIN CIRCUS PARADE,12,2011-12-09 12:50:00,1.65,12680.0,France,19.8,sale,0
1067356,581587,22631,CIRCUS PARADE LUNCH BOX,12,2011-12-09 12:50:00,1.95,12680.0,France,23.4,sale,0
1067355,581586,20685,DOORMAT RED RETROSPOT,10,2011-12-09 12:49:00,7.08,13113.0,United Kingdom,70.8,sale,0
1067354,581586,21217,RED RETROSPOT ROUND CAKE TINS,24,2011-12-09 12:49:00,8.95,13113.0,United Kingdom,214.8,sale,0
1067353,581586,23275,SET OF 3 HANGING OWLS OLLIE BEAK,24,2011-12-09 12:49:00,1.25,13113.0,United Kingdom,30.0,sale,0
1067352,581586,22061,LARGE CAKE STAND  HANGING STRAWBERY,8,2011-12-09 12:49:00,2.95,13113.0,United Kingdom,23.6,sale,0
1067351,581585,22466,FAIRY TALE COTTAGE NIGHT LIGHT,12,2011-12-09 12:31:00,1.95,15804.0,United Kingdom,23.4,sale,0
1067350,581585,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,2011-12-09 12:31:00,0.95,15804.0,United Kingdom,11.4,sale,0
1067349,581585,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,2011-12-09 12:31:00,3.75,15804.0,United Kingdom,15.0,sale,0
1067348,581585,22398,MAGNETS PACK OF 4 SWALLOWS,12,2011-12-09 12:31:00,0.39,15804.0,United Kingdom,4.68,sale,0
1067347,581585,21684,SMALL MEDINA STAMPED METAL BOWL,12,2011-12-09 12:31:00,0.85,15804.0,United Kingdom,10.2,sale,0
1067346,581585,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-12-09 12:31:00,1.25,15804.0,United Kingdom,15.0,sale,0
1067345,581585,84692,BOX OF 24 COCKTAIL PARASOLS,25,2011-12-09 12:31:00,0.42,15804.0,United Kingdom,10.5,sale,0
1067344,581585,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-12-09 12:31:00,0.42,15804.0,United Kingdom,10.08,sale,0
1067343,581585,16016,LARGE CHINESE STYLE SCISSOR,10,2011-12-09 12:31:00,0.85,15804.0,United Kingdom,8.5,sale,0
1067342,581585,22727,ALARM CLOCK BAKELIKE RED,4,2011-12-09 12:31:00,3.75,15804.0,United Kingdom,15.0,sale,0
1067341,581585,22726,ALARM CLOCK BAKELIKE GREEN,8,2011-12-09 12:31:00,3.75,15804.0,United Kingdom,30.0,sale,0
1067340,581585,23356,LOVE HOT WATER BOTTLE,3,2011-12-09 12:31:00,5.95,15804.0,United Kingdom,17.85,sale,0
1067339,581585,22113,GREY HEART HOT WATER BOTTLE,4,2011-12-09 12:31:00,4.25,15804.0,United Kingdom,17.0,sale,0
1067338,581585,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,2011-12-09 12:31:00,0.85,15804.0,United Kingdom,20.4,sale,0
1067337,581585,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-12-09 12:31:00,1.69,15804.0,United Kingdom,27.04,sale,0
1067336,581585,23084,RABBIT NIGHT LIGHT,12,2011-12-09 12:31:00,2.08,15804.0,United Kingdom,24.96,sale,0
1067335,581585,84832,ZINC WILLIE WINKIE  CANDLE STICK,24,2011-12-09 12:31:00,0.85,15804.0,United Kingdom,20.4,sale,0
1067334,581585,22460,EMBOSSED GLASS TEALIGHT HOLDER,12,2011-12-09 12:31:00,1.25,15804.0,United Kingdom,15.0,sale,0
1067333,581585,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-12-09 12:31:00,1.95,15804.0,United Kingdom,23.4,sale,0
1067332,581585,22915,ASSORTED BOTTLE TOP  MAGNETS,24,2011-12-09 12:31:00,0.19,15804.0,United Kingdom,4.56,sale,0
1067331,581585,22481,BLACK TEA TOWEL CLASSIC DESIGN,12,2011-12-09 12:31:00,0.39,15804.0,United Kingdom,4.68,sale,0
1067330,581584,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,48,2011-12-09 12:25:00,1.85,13777.0,United Kingdom,88.8,sale,0
1067329,581584,20832,RED FLOCK LOVE HEART PHOTO FRAME,72,2011-12-09 12:25:00,0.72,13777.0,United Kingdom,51.84,sale,0
1067328,581583,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,36,2011-12-09 12:23:00,1.85,13777.0,United Kingdom,66.6,sale,0
1067327,581583,20725,LUNCH BAG RED RETROSPOT,40,2011-12-09 12:23:00,1.45,13777.0,United Kingdom,58.0,sale,0
1067326,581582,23498,CLASSIC BICYCLE CLIPS,12,2011-12-09 12:21:00,1.45,17581.0,United Kingdom,17.4,sale,0
1067325,581582,23552,BICYCLE PUNCTURE REPAIR KIT,6,2011-12-09 12:21:00,2.08,17581.0,United Kingdom,12.48,sale,0
1067324,581580,37500,TEA TIME TEAPOT IN GIFT BOX,1,2011-12-09 12:20:00,4.95,12748.0,United Kingdom,4.95,sale,0
1067323,581580,79321,CHILLI LIGHTS,2,2011-12-09 12:20:00,5.75,12748.0,United Kingdom,11.5,sale,0
1067322,581580,22567,20 DOLLY PEGS RETROSPOT,1,2011-12-09 12:20:00,1.45,12748.0,United Kingdom,1.45,sale,0
1067321,581580,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-12-09 12:20:00,2.95,12748.0,United Kingdom,2.95,sale,0
1067320,581580,21351,CINAMMON & ORANGE WREATH,1,2011-12-09 12:20:00,6.75,12748.0,United Kingdom,6.75,sale,0
1067319,581580,22075,6 RIBBONS ELEGANT CHRISTMAS,2,2011-12-09 12:20:00,0.39,12748.0,United Kingdom,0.78,sale,0
1067318,581580,85049E,SCANDINAVIAN REDS RIBBONS,2,2011-12-09 12:20:00,1.25,12748.0,United Kingdom,2.5,sale,0
1067317,581580,22816,CARD MOTORBIKE SANTA,24,2011-12-09 12:20:00,0.42,12748.0,United Kingdom,10.08,sale,0
1067316,581580,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011-12-09 12:20:00,1.95,12748.0,United Kingdom,1.95,sale,0
1067315,581580,22704,WRAP RED APPLES,25,2011-12-09 12:20:00,0.42,12748.0,United Kingdom,10.5,sale,0
1067314,581580,22894,TABLECLOTH RED APPLES DESIGN,2,2011-12-09 12:20:00,9.95,12748.0,United Kingdom,19.9,sale,0
1067313,581580,22908,PACK OF 20 NAPKINS RED APPLES,2,2011-12-09 12:20:00,0.85,12748.0,United Kingdom,1.7,sale,0
1067312,581580,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,2011-12-09 12:20:00,2.1,12748.0,United Kingdom,2.1,sale,0
1067311,581580,22695,WICKER WREATH SMALL,1,2011-12-09 12:20:00,0.59,12748.0,United Kingdom,0.59,sale,0
1067310,581580,23126,FELTCRAFT GIRL AMELIE KIT,1,2011-12-09 12:20:00,4.95,12748.0,United Kingdom,4.95,sale,0
1067309,581580,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2011-12-09 12:20:00,1.25,12748.0,United Kingdom,1.25,sale,0
1067308,581580,23338,EGG FRYING PAN RED,1,2011-12-09 12:20:00,2.08,12748.0,United Kingdom,2.08,sale,0
1067307,581580,20974,12 PENCILS SMALL TUBE SKULL,1,2011-12-09 12:20:00,0.65,12748.0,United Kingdom,0.65,sale,0
1067306,581580,21809,CHRISTMAS HANGING TREE WITH BELL,2,2011-12-09 12:20:00,0.39,12748.0,United Kingdom,0.78,sale,0
1067305,581580,21803,CHRISTMAS TREE STAR DECORATION,2,2011-12-09 12:20:00,0.42,12748.0,United Kingdom,0.84,sale,0
1067304,581580,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2011-12-09 12:20:00,1.65,12748.0,United Kingdom,1.65,sale,0
1067303,581580,84993A,75 GREEN PETIT FOUR CASES,2,2011-12-09 12:20:00,0.42,12748.0,United Kingdom,0.84,sale,0
1067302,581580,21790,VINTAGE SNAP CARDS,1,2011-12-09 12:20:00,0.85,12748.0,United Kingdom,0.85,sale,0
1067301,581580,23334,IVORY WICKER HEART SMALL,4,2011-12-09 12:20:00,0.63,12748.0,United Kingdom,2.52,sale,0
1067300,581581,23681,LUNCH BAG RED VINTAGE DOILY,10,2011-12-09 12:20:00,1.65,17581.0,United Kingdom,16.5,sale,0
1067299,581581,23561,SET OF 6 RIBBONS PARTY,6,2011-12-09 12:20:00,2.89,17581.0,United Kingdom,17.34,sale,0
1067298,581581,23562,SET OF 6 RIBBONS PERFECTLY PRETTY,6,2011-12-09 12:20:00,2.89,17581.0,United Kingdom,17.34,sale,0
1067297,581579,23581,JUMBO BAG PAISLEY PARK,40,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,71.6,sale,0
1067296,581579,23344,JUMBO BAG 50'S CHRISTMAS,20,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,35.8,sale,0
1067295,581579,23343,JUMBO BAG VINTAGE CHRISTMAS,30,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,53.7,sale,0
1067294,581579,23201,JUMBO BAG ALPHABET,20,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,35.8,sale,0
1067293,581579,22941,CHRISTMAS LIGHTS 10 REINDEER,4,2011-12-09 12:19:00,8.5,17581.0,United Kingdom,34.0,sale,0
1067292,581579,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,24,2011-12-09 12:19:00,0.39,17581.0,United Kingdom,9.36,sale,0
1067291,581579,22083,PAPER CHAIN KIT RETROSPOT,6,2011-12-09 12:19:00,2.95,17581.0,United Kingdom,17.7,sale,0
1067290,581579,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24,2011-12-09 12:19:00,2.55,17581.0,United Kingdom,61.2,sale,0
1067289,581579,23313,VINTAGE CHRISTMAS BUNTING,15,2011-12-09 12:19:00,4.95,17581.0,United Kingdom,74.25,sale,0
1067288,581579,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-12-09 12:19:00,0.83,17581.0,United Kingdom,6.64,sale,0
1067287,581579,22197,POPCORN HOLDER,24,2011-12-09 12:19:00,0.85,17581.0,United Kingdom,20.4,sale,0
1067286,581579,23084,RABBIT NIGHT LIGHT,24,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,42.96,sale,0
1067285,581579,23480,MINI LIGHTS WOODLAND MUSHROOMS,8,2011-12-09 12:19:00,3.75,17581.0,United Kingdom,30.0,sale,0
1067284,581579,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-09 12:19:00,1.25,17581.0,United Kingdom,15.0,sale,0
1067283,581579,23570,TRADITIONAL PICK UP STICKS GAME,12,2011-12-09 12:19:00,1.25,17581.0,United Kingdom,15.0,sale,0
1067282,581579,23489,VINTAGE BELLS GARLAND,6,2011-12-09 12:19:00,2.89,17581.0,United Kingdom,17.34,sale,0
1067281,581579,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-12-09 12:19:00,1.25,17581.0,United Kingdom,30.0,sale,0
1067280,581579,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2011-12-09 12:19:00,2.95,17581.0,United Kingdom,35.4,sale,0
1067279,581579,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2011-12-09 12:19:00,2.95,17581.0,United Kingdom,35.4,sale,0
1067278,581579,23318,BOX OF 6 MINI VINTAGE CRACKERS,12,2011-12-09 12:19:00,2.49,17581.0,United Kingdom,29.88,sale,0
1067277,581579,23319,BOX OF 6 MINI 50'S CRACKERS,12,2011-12-09 12:19:00,2.49,17581.0,United Kingdom,29.88,sale,0
1067276,581579,23350,ROLL WRAP VINTAGE SPOT,25,2011-12-09 12:19:00,1.25,17581.0,United Kingdom,31.25,sale,0
