city,product_line,transactions,revenue,average_transaction
Yangon,Food and beverages,58,17163.1005,295.91552586
Naypyitaw,Health and beauty,52,16615.326,319.5255
Naypyitaw,Sports and travel,45,15761.928,350.26506667
Yangon,Fashion accessories,51,16332.5085,320.24526471
Yangon,Sports and travel,59,19372.6995,328.35083898
Yangon,Home and lifestyle,65,22417.1955,344.87993077
Mandalay,Fashion accessories,62,16413.3165,264.73091129
Mandalay,Sports and travel,62,19988.199,322.39030645
Naypyitaw,Food and beverages,66,23766.855,360.10386364
Mandalay,Electronic accessories,55,17051.4435,310.02624545
Naypyitaw,Fashion accessories,65,21560.07,331.69338462
Naypyitaw,Home and lifestyle,45,13895.553,308.79006667
Naypyitaw,Electronic accessories,55,18968.9745,344.89044545
Mandalay,Food and beverages,50,15214.8885,304.29777
Yangon,Health and beauty,47,12597.753,268.03729787
Yangon,Electronic accessories,60,18317.1135,305.285225
Mandalay,Home and lifestyle,50,17549.1645,350.98329
Mandalay,Health and beauty,53,19980.66,376.99358491
